MSN,YYYYMM,Value,Column_Order,Description,Unit
CLACEUS,198607,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198608,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198609,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198610,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198611,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198612,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198613,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198701,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198702,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198703,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198704,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198705,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198706,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198707,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198708,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198709,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198710,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198711,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198712,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198713,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198801,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198802,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198803,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198804,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198805,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198806,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198807,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198808,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198809,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198810,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198811,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198812,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198813,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198901,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198902,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198903,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198904,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198905,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198906,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198907,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198908,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198909,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198910,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198911,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198912,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198913,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199001,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199002,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199003,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199004,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199005,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199006,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199007,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199008,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199009,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199010,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199011,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199012,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199013,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199101,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199102,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199103,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199104,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199105,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199106,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199107,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199108,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199109,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199110,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199111,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199112,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199113,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199201,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199202,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199203,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199204,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199205,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199206,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199207,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199208,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,199209,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
